nodeID, floor, Type, X, Y, EdgeID, Weight
2055,2,SECTION,78,-42,2042,4
2056,2,SECTION,83,-22,2057,3
2056,2,SECTION,83,-22,2045,2
2056,2,SECTION,83,-22,8205,1
2057,2,SECTION,83,-42,2055,1
2057,2,SECTION,83,-42,254,1
2057,2,SECTION,83,-42,2056,3
2058,2,SECTION,-73,-17,227,1
2058,2,SECTION,-73,-17,2004,1
2058,2,SECTION,-73,-17,2000,1
2059,2,SECTION,54,-22,2043,2
2059,2,SECTION,54,-22,2044,1
2060,2,SECTION,-62,-33,2005,1
2060,2,SECTION,-62,-33,9003,1
2100,2,FINAL,-78,-22,2002,1
2101,2,FINAL,-60,-22,2006,1
2102,2,FINAL,-6,-37,2015,1
2103,2,FINAL,-6,-43,2016,1
2104,2,FINAL,12,-10,2018,1
2104,2,FINAL,12,-10,2027,1
205,2,FINAL,20,-20,2020,1
205,2,FINAL,20,-20,2021,1
2106,2,FINAL,20,7,2028,1
2107,2,FINAL,20,28,2030,1
2108,2,FINAL,41,12,2039,1
2109,2,FINAL,41,28,2038,1
2110,2,FINAL,40,38,2037,1
2111,2,FINAL,19,47,2031,1
2112,2,FINAL,61,15,2047,1
2112,2,FINAL,61,15,2053,1
2260,2,FINAL,-82,-7,2000,1
2261,2,FINAL,-65,-7,2004,1
8200,2,FINAL,-88,-27,2001,2
8201,2,FINAL,-25,-46,2012,1
8202,2,FINAL,28,-51,2023,5
8203,2,FINAL,54,-50,2042,2
8204,2,FINAL,78,-50,2055,2
8205,2,FINAL,89,-22,2056,1
9001,2,TRANSITION,0,0,2036,0
9002,2,TRANSITION,0,0,2019,0
9003,2,TRANSITION,0,0,2060,0
308,3,FINAL,4,-44,3016,0
314,3,FINAL,-34,-29,3012,0
314,3,FINAL,-34,-29,3010,0
314,3,FINAL,-34,-29,3008,0
314,3,FINAL,-34,-29,3006,0
326,3,FINAL,-77,-21,3057,1
326,3,FINAL,-77,-21,3058,1
332,3,FINAL,15,1,3027,1
333,3,FINAL,14,24,3334,1
333,3,FINAL,14,24,3333,1
333,3,FINAL,14,24,3332,1
333,3,FINAL,14,24,3331,1
335,3,FINAL,47,-49,3022,1
337,3,FINAL,74,-46,3055,1
338,3,FINAL,41,-28,3024,1
339,3,FINAL,28,-7,3025,1
342,3,FINAL,67,-29,3054,1
343,3,FINAL,74,-29,3055,1
344,3,FINAL,84,-38,3056,1
345,3,FINAL,78,-25,3056,1
372,3,FINAL,55,3,3050,1
376,3,FINAL,74,15,3048,1
377,3,FINAL,82,42,3055,1
381,3,FINAL,75,37,3047,1
394,3,FINAL,26,50,3035,1
394,3,FINAL,26,50,3033,1
3000,3,SECTION,-86,-36,8300,2
3000,3,SECTION,-86,-36,3058,2
3000,3,SECTION,-86,-36,3001,2
3001,3,SECTION,-75,-36,3000,2
